縣市	行政區	村里	圖號坐標	型式		
臺東縣	東河鄉	東河村	R3883DB90	水泥桿		
臺東縣	東河鄉	東河村	R3883DB9001	水泥桿		
臺東縣	成功鎮	信義里	R3883FE00	H桿		
臺東縣	成功鎮	信義里	R3883FE13	水泥桿		
臺東縣	成功鎮	信義里	R3883FE27	水泥桿		
臺東縣	成功鎮	信義里	R3884FA20	水泥桿		
臺東縣	成功鎮	信義里	R3884EA92	水泥桿		
臺東縣	成功鎮	信義里	R3884EA64	水泥併桿		
臺東縣	成功鎮	信義里	R3884EA44	水泥桿		
臺東縣	成功鎮	信義里	R3884EA26	水泥桿		
臺東縣	成功鎮	信義里	R3884EA07	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DC66	水泥併桿		
臺東縣	成功鎮	信義里	R3884DA79	水泥桿		
臺東縣	成功鎮	信義里	R3884DA34	水泥併桿		
臺東縣	成功鎮	信義里	R3884DA11	水泥併桿		
臺東縣	成功鎮	信義里	R3883CE96	H桿		
臺東縣	成功鎮	信義里	R3884EB03	水泥桿		
臺東縣	成功鎮	信義里	R3884EB25	水泥桿		
臺東縣	成功鎮	信義里	R3884EB38	水泥桿		
臺東縣	成功鎮	信義里	R3884EC63	水泥桿		
臺東縣	成功鎮	信義里	R3884EC88	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DD70	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DD74	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DD77	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DE81	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DE95	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DE99	水泥桿		
臺東縣	東河鄉	隆昌村	R3476EA03	水泥桿		
臺東縣	東河鄉	隆昌村	R3476EA07	水泥桿		
臺東縣	東河鄉	隆昌村	R3476EB00	水泥併桿		
臺東縣	東河鄉	隆昌村	R3476EB13	水泥桿		
臺東縣	東河鄉	隆昌村	R3476EB36	水泥桿		
臺東縣	東河鄉	隆昌村	R3476EB89	水泥桿		
臺東縣	東河鄉	隆昌村	R3476FC01	水泥桿		
臺東縣	東河鄉	隆昌村	R3476FC33	水泥併桿		
臺東縣	東河鄉	隆昌村	R3476FC45	水泥併桿		
臺東縣	東河鄉	隆昌村	R3476FC58	水泥併桿		
臺東縣	東河鄉	隆昌村	R3476FD61	水泥併桿		
臺東縣	東河鄉	隆昌村	R3476FD74	水泥桿		
臺東縣	東河鄉	隆昌村	R3476FD88	水泥桿		
臺東縣	東河鄉	隆昌村	R3476FE90	水泥桿		
臺東縣	東河鄉	隆昌村	R3476GE03	水泥桿		
