縣市	行政區	村里	圖號坐標	型式		
金門縣	烈嶼鄉	西口村	Z9054AE55	木桿		
金門縣	烈嶼鄉	西口村	Z9054AE28	木桿		
金門縣	烈嶼鄉	西口村	Z8955HA82	水泥桿		
金門縣	烈嶼鄉	上林村	Z9054BB45	水泥桿		
金門縣	烈嶼鄉	上林村	Z9054BB02	木桿		
金門縣	烈嶼鄉	上林村	Z9054AA79	木桿		
金門縣	烈嶼鄉	上林村	Z9054AA46	木桿		
金門縣	烈嶼鄉	上林村	Z9054AA13	水泥桿		
金門縣	金湖鎮	瓊林里	Z0857BB44	水泥桿		
金門縣	金湖鎮	瓊林里	Z0857BB64	水泥桿		
金門縣	金湖鎮	瓊林里	Z0857BB73	水泥桿		
金門縣	金湖鎮	瓊林里	Z0857BB81	水泥桿		
金門縣	金湖鎮	瓊林里	Z0857CB12	木桿		
金門縣	金湖鎮	瓊林里	Z0857CB33	木桿		
金門縣	金湖鎮	瓊林里	Z0857CB74	水泥桿		
金門縣	金湖鎮	瓊林里	Z0857CB85	水泥桿		
金門縣	金沙鎮	大洋里	Z1760FB87	水泥桿		
金門縣	金沙鎮	大洋里	Z1759HE33	水泥桿		
金門縣	金沙鎮	大洋里	Z1759HD59	水泥桿		
金門縣	金沙鎮	大洋里	Z1759HD85	水泥桿		
金門縣	金沙鎮	大洋里	Z1859AD13	水泥桿		
金門縣	金沙鎮	大洋里	Z1859AD41	水泥桿		
金門縣	金沙鎮	大洋里	Z1859AD80	水泥桿		
金門縣	金沙鎮	大洋里	Z1859BC29	水泥桿		
金門縣	金沙鎮	大洋里	Z1760GB06	水泥桿		
金門縣	金沙鎮	大洋里	Z1760GB24	水泥桿		
金門縣	金沙鎮	大洋里	Z1760GB22	水泥桿		
金門縣	金沙鎮	大洋里	Z1760GA59	水泥桿		
金門縣	金沙鎮	大洋里	Z1760GA76	水泥桿		
金門縣	金沙鎮	大洋里	Z1760GA92	水泥桿		
金門縣	金沙鎮	大洋里	Z1759GE99	水泥桿		
金門縣	金沙鎮	大洋里	Z1759HE16	水泥桿		
金門縣	金湖鎮	山外里	Z1157FD00	水泥桿		
金門縣	金湖鎮	山外里	Z1256AE59	水泥桿		
金門縣	金湖鎮	正義里	Z1056HA80	水泥桿		
金門縣	金湖鎮	新湖里	Z1156GE81	水泥桿		
金門縣	金城鎮	古城里	Z9946FD32	水泥桿		
金門縣	金城鎮	古城里	Z9946FD10	水泥桿		
金門縣	金城鎮	古城里	Z9946EC78	水泥併桿		
金門縣	金城鎮	古城里	Z9946EC35	水泥併桿		
金門縣	金城鎮	古城里	Z9946DC93	水泥桿		
金門縣	金城鎮	古城里	Z9946DC60	水泥桿		
金門縣	金寧鄉	古寧村	Z9965GE97	水泥桿		
金門縣	金寧鄉	古寧村	Z9965GA80	水泥桿		
金門縣	金寧鄉	古寧村	Z9966GA82	水泥桿		
金門縣	金寧鄉	古寧村	Z9966GA85	水泥桿		
金門縣	金寧鄉	古寧村	Z9966GA97	水泥桿		
金門縣	金寧鄉	古寧村	Z9966HA19	水泥桿		
金門縣	金寧鄉	古寧村	Z9966HB40	水泥桿		
金門縣	金寧鄉	古寧村	Z9966HA77	水泥桿		
金門縣	金寧鄉	古寧村	Z0066HA94	水泥桿		
金門縣	金寧鄉	古寧村	Z0066AA22	水泥桿		
金門縣	金寧鄉	古寧村	Z0065AE59	水泥桿		
金門縣	金寧鄉	古寧村	Z0065AE85	水泥桿		
金門縣	金寧鄉	古寧村	Z0065BE03	水泥桿		
金門縣	金寧鄉	古寧村	Z0065BE40	水泥桿		
金門縣	金寧鄉	古寧村	Z9964HC99	水泥桿		
金門縣	金寧鄉	古寧村	Z0064AD22	水泥桿		
金門縣	金寧鄉	古寧村	Z0064AD54	水泥桿		
金門縣	金寧鄉	古寧村	Z9964HD43	水泥併桿		
金門縣	金寧鄉	古寧村	Z9964HD26	水泥桿		
金門縣	金寧鄉	古寧村	Z9964HD15	木桿		
金門縣	金寧鄉	古寧村	Z9964GD83	水泥桿		
金門縣	金寧鄉	古寧村	Z9964GD51	木桿		
金門縣	金寧鄉	古寧村	Z9964GC38	水泥桿		
金門縣	金寧鄉	古寧村	Z9964GC06	水泥桿		
金門縣	金寧鄉	古寧村	Z9965FB89	水泥桿		
金門縣	金寧鄉	古寧村	Z9965FC53	水泥桿		
金門縣	金寧鄉	古寧村	Z0064AB11	水泥桿		
金門縣	金寧鄉	古寧村	Z9964HB84	水泥桿		
金門縣	金寧鄉	古寧村	Z9965FC37	木桿		
金門縣	金寧鄉	古寧村	Z9965FD60	木桿		
金門縣	金寧鄉	古寧村	Z9965FD92	木桿		
金門縣	金寧鄉	古寧村	Z9965GD26	木桿		
金門縣	金寧鄉	古寧村	Z9965GD59	水泥桿		
金門縣	金寧鄉	古寧村	Z9965GE93	木桿		
金門縣	金寧鄉	古寧村	Z9965HE04	水泥桿		
金門縣	金寧鄉	古寧村	Z9965FC14	木桿		
金門縣	金寧鄉	古寧村	Z9965EB36	木桿		
金門縣	金寧鄉	古寧村	Z9965DB92	水泥桿		
金門縣	金寧鄉	古寧村	Z9965DA58	木桿		
金門縣	金寧鄉	古寧村	Z9965DA25	水泥桿		
金門縣	金寧鄉	古寧村	Z9965CA79	水泥桿		
金門縣	金寧鄉	古寧村	Z9965CB31	木桿		
金門縣	金寧鄉	古寧村	Z9965BB94	木桿		
金門縣	金寧鄉	古寧村	Z9965BB48	木桿		
金門縣	金寧鄉	古寧村	Z9965BC01	木桿		
金門縣	金寧鄉	古寧村	Z9965AC82	水泥桿		
金門縣	金寧鄉	古寧村	Z9965AC46	水泥桿		
金門縣	金寧鄉	古寧村	Z9965AC27	水泥桿		
金門縣	金寧鄉	古寧村	Z9965DA52	水泥桿		
金門縣	金寧鄉	古寧村	Z9964EE26	水泥桿		
金門縣	金寧鄉	古寧村	Z9964EE45	木桿		
金門縣	金寧鄉	古寧村	Z9964EE7286	木桿		
金門縣	金寧鄉	古寧村	Z9964FD19	水泥桿		
金門縣	金寧鄉	古寧村	Z9964FD38	水泥桿		
金門縣	金寧鄉	古寧村	Z9964FD10	水泥桿		
金門縣	金寧鄉	古寧村	Z9964EC77	水泥桿		
金門縣	金寧鄉	古寧村	Z9964EC43	水泥桿		
金門縣	金寧鄉	古寧村	Z9964EC02	水泥桿		
金門縣	金寧鄉	古寧村	Z9964DC51	水泥併桿		
